Trial, Divers, PDCS Mild, PDCS Serious
200 50 3:40 Air 2 4 8 10 21 26 28 382 485:20 4.5, 1, 0.076442, 0.010726
210 4 7:00 Air 0 7:00 0 D, 1, 0.005924, 0.000797
210 5 6:20 Air 2 9:00 0.5 E, 1, 0.006749, 0.000908
210 10 5:40 Air 2 3 9 20:20 0.5 I, 1, 0.013961, 0.001887
210 15 5:00 Air 1 3 3 6 24 42:40 1 M, 1, 0.024683, 0.003357
210 20 4:40 Air 1 3 5 6 7 57 84:20 1 O, 1, 0.038257, 0.005245
210 25 4:40 Air 3 6 5 7 8 110 144:20 2 Z, 1, 0.049654, 0.006854
210 30 4:20 Air 2 5 6 6 6 26 163 219:00 2.5 Z, 1, 0.058791, 0.008160
210 35 4:00 Air 1 4 5 6 7 18 28 223 296:40 3, 1, 0.065503, 0.009129
210 40 4:00 Air 2 5 5 7 11 26 28 278 366:40 3.5, 1, 0.071001, 0.009929
210 45 4:00 Air 4 4 6 11 18 26 28 355 456:40 4, 1, 0.075376, 0.010569
210 50 3:40 Air 1 4 5 10 12 23 26 36 432 553:20 5, 1, 0.078840, 0.011079
220 4 7:20 Air 0 7:20 0 E, 1, 0.006452, 0.000868
220 5 6:40 Air 3 10:20 0.5 E, 1, 0.007262, 0.000978
220 10 6:00 Air 3 4 10 23:40 0.5 J, 1, 0.015338, 0.002075
220 15 5:20 Air 3 2 4 7 28 50:00 1 N, 1, 0.027459, 0.003741
220 20 5:00 Air 2 4 6 6 7 70 100:40 1.5 Z, 1, 0.042035, 0.005776
220 25 4:40 Air 1 5 6 6 6 14 133 176:20 2 Z, 1, 0.053118, 0.007348
220 30 4:20 Air 1 4 5 6 6 10 28 183 248:00 2.5, 1, 0.062355, 0.008674
220 35 4:20 Air 3 5 5 5 10 22 28 251 334:00 3.5, 1, 0.068276, 0.009532
220 40 4:00 Air 1 4 5 5 9 15 26 28 319 416:40 4, 1, 0.073663, 0.010318
250 4 7:40 Air 4 12:20 0.5 F, 1, 0.007478, 0.001007
250 5 7:40 Air 7 15:20 0.5 G, 1, 0.009177, 0.001237
250 10 6:20 Air 2 2 4 3 15 33:00 0.5 L, 1, 0.020251, 0.002747
250 15 5:40 Air 2 2 3 4 6 7 53 83:20 1 O, 1, 0.037085, 0.005081
250 20 5:20 Air 2 2 4 6 6 6 11 125 168:00 2 Z, 1, 0.051528, 0.007121
250 25 5:00 Air 1 4 4 5 6 6 10 28 189 258:40 2.5, 1, 0.062761, 0.008732
250 30 4:40 Air 1 4 4 4 5 6 9 25 28 267 358:20 3.5, 1, 0.069940, 0.009774
250 35 4:40 Air 3 4 4 5 5 10 19 26 28 363 472:20 4, 1, 0.075702, 0.010617
300 4 9:00 Air 3 7 19:40 0.5 G, 1, 0.010823, 0.001460
300 5 8:40 Air 3 3 8 23:20 0.5 I, 1, 0.013219, 0.001786
300 10 7:20 Air 2 3 2 3 4 7 35 64:00 1 N, 1, 0.031517, 0.004304
300 15 6:20 Air 1 2 2 3 3 5 6 7 11 125 172:00 2 Z, 1, 0.051501, 0.007117
300 20 6:00 Air 2 2 2 4 5 5 5 6 16 28 219 300:40 3, 1, 0.064947, 0.009049
300 25 5:40 Air 1 3 4 4 4 5 5 5 18 26 28 324 433:20 4, 1, 0.074079, 0.010379
