Trial, Divers, PDCS Mild, PDCS Serious
55 110 1:10 Air 34 35:50 0.5 O, 1, 0.038084, 0.005221
55 120 1:10 Air 48 49:50 1 Z, 1, 0.042597, 0.005855
55 130 1:10 Air 59 60:50 1 Z, 1, 0.046875, 0.006460
55 140 1:10 Air 84 85:50 1 Z, 1, 0.049887, 0.006887
55 150 1:10 Air 105 106:50 1.5 Z, 1, 0.052629, 0.007278
55 160 1:10 Air 123 124:50 1.5 Z, 1, 0.055299, 0.007659
55 170 1:10 Air 138 139:50 1.5 Z, 1, 0.057938, 0.008038
55 180 1:10 Air 151 152:50 2 Z, 1, 0.060508, 0.008408
55 190 1:10 Air 169 170:50 2, 1, 0.062423, 0.008684
55 200 1:10 Air 190 191:50 2, 1, 0.063857, 0.008891
55 210 1:10 Air 208 209:50 2.5, 1, 0.065359, 0.009109
55 220 1:10 Air 224 225:50 2.5, 1, 0.066852, 0.009325
55 230 1:10 Air 239 240:50 2.5, 1, 0.068285, 0.009533
55 240 1:10 Air 254 255:50 3, 1, 0.069579, 0.009722
55 270 1:10 Air 313 314:50 3.5, 1, 0.072069, 0.010085
55 300 1:10 Air 380 381:50 3.5, 1, 0.073771, 0.010334
55 330 1:10 Air 432 433:50 4, 1, 0.076073, 0.010672
55 360 1:10 Air 474 475:50 4.5, 1, 0.078488, 0.011027
60 63 2:00 Air 0 2:00 0 K, 1, 0.020140, 0.002732
60 65 1:20 Air 2 4:00 0.5 L, 1, 0.020763, 0.002818
60 70 1:20 Air 7 9:00 0.5 L, 1, 0.022967, 0.003121
60 80 1:20 Air 14 16:00 0.5 N, 1, 0.028072, 0.003826
60 90 1:20 Air 23 25:00 0.5 O, 1, 0.033567, 0.004589
60 100 1:20 Air 42 44:00 1 Z, 1, 0.038881, 0.005333
60 110 1:20 Air 57 59:00 1 Z, 1, 0.043873, 0.006035
60 120 1:20 Air 75 77:00 1 Z, 1, 0.048218, 0.006650
60 130 1:20 Air 102 104:00 1.5 Z, 1, 0.051383, 0.007100
60 140 1:20 Air 124 126:00 1.5 Z, 1, 0.054466, 0.007540
60 150 1:20 Air 143 145:00 2 Z, 1, 0.057442, 0.007967
60 160 1:20 Air 158 160:00 2 Z, 1, 0.060441, 0.008398
60 170 1:20 Air 178 180:00 2, 1, 0.062735, 0.008729
60 180 1:20 Air 201 203:00 2.5, 1, 0.064495, 0.008983
60 190 1:20 Air 222 224:00 2.5, 1, 0.066197, 0.009230
60 200 1:20 Air 240 242:00 2.5, 1, 0.067940, 0.009483
60 210 1:20 Air 256 258:00 3, 1, 0.069701, 0.009740
60 220 1:20 Air 278 280:00 3, 1, 0.070920, 0.009917
60 230 1:20 Air 300 302:00 3.5, 1, 0.072083, 0.010087
60 240 1:20 Air 321 323:00 3.5, 1, 0.073282, 0.010263
60 270 1:20 Air 398 400:00 4, 1, 0.075711, 0.010619
